=== MNIST-Pipe battery ===
building statistics layer (features are the environment)…
stats layer v2: 677 fixed dims (deskew + zones + profiles + grad-hist + PCA)
centroid baseline (no evolution): 0.9095
  [det3] gen 2800: val_logprob=-0.1073 val_acc=0.9813
  [det3] gen 3000: val_logprob=-0.1052 val_acc=0.9813
  [det3] gen 3200: val_logprob=-0.1129 val_acc=0.9819
  [det3] gen 3400: val_logprob=-0.1014 val_acc=0.9841
  [det3] gen 3600: val_logprob=-0.0886 val_acc=0.9859
  [det3] gen 3800: val_logprob=-0.0771 val_acc=0.9880
  [det3] gen 4000: val_logprob=-0.0691 val_acc=0.9885
  [det3] gen 4200: val_logprob=-0.0797 val_acc=0.9871
  [det3] gen 4400: val_logprob=-0.0693 val_acc=0.9902
  [det3] gen 4600: val_logprob=-0.0758 val_acc=0.9870
  [det3] gen 4800: val_logprob=-0.0669 val_acc=0.9898
  [det3] gen 5000: val_logprob=-0.0750 val_acc=0.9869
[detector 3] done: balanced val_acc=0.9898
  [det4] gen 1: val_logprob=-1.0930 val_acc=0.7346
  [det4] gen 200: val_logprob=-0.5154 val_acc=0.9130
  [det4] gen 400: val_logprob=-0.3625 val_acc=0.9418
  [det4] gen 600: val_logprob=-0.2838 val_acc=0.9599
  [det4] gen 800: val_logprob=-0.2094 val_acc=0.9678
  [det4] gen 1000: val_logprob=-0.1867 val_acc=0.9712
  [det4] gen 1200: val_logprob=-0.1782 val_acc=0.9744
  [det4] gen 1400: val_logprob=-0.1583 val_acc=0.9739
  [det4] gen 1600: val_logprob=-0.1712 val_acc=0.9733
  [det4] gen 1800: val_logprob=-0.1711 val_acc=0.9724
  [det4] gen 2000: val_logprob=-0.1929 val_acc=0.9752
  [det4] gen 2200: val_logprob=-0.1886 val_acc=0.9739
  [det4] gen 2400: val_logprob=-0.1656 val_acc=0.9753
  [det4] gen 2600: val_logprob=-0.1560 val_acc=0.9769
  [det4] gen 2800: val_logprob=-0.1625 val_acc=0.9824
  [det4] gen 3000: val_logprob=-0.1799 val_acc=0.9765
  [det4] gen 3200: val_logprob=-0.1762 val_acc=0.9768
  [det4] gen 3400: val_logprob=-0.1749 val_acc=0.9719
  [det4] gen 3600: val_logprob=-0.1570 val_acc=0.9768
  [det4] gen 3800: val_logprob=-0.1662 val_acc=0.9780
  [det4] gen 4000: val_logprob=-0.1354 val_acc=0.9811
  [det4] gen 4200: val_logprob=-0.1740 val_acc=0.9801
  [det4] gen 4400: val_logprob=-0.1706 val_acc=0.9776
  [det4] gen 4600: val_logprob=-0.1659 val_acc=0.9792
  [det4] gen 4800: val_logprob=-0.1748 val_acc=0.9788
  [det4] gen 5000: val_logprob=-0.1491 val_acc=0.9781
[detector 4] done: balanced val_acc=0.9811
  [det5] gen 1: val_logprob=-1.1249 val_acc=0.7083
  [det5] gen 200: val_logprob=-0.5900 val_acc=0.8891
  [det5] gen 400: val_logprob=-0.4470 val_acc=0.9270
  [det5] gen 600: val_logprob=-0.3784 val_acc=0.9447
  [det5] gen 800: val_logprob=-0.3048 val_acc=0.9542
  [det5] gen 1000: val_logprob=-0.2740 val_acc=0.9600
  [det5] gen 1200: val_logprob=-0.2589 val_acc=0.9643
  [det5] gen 1400: val_logprob=-0.2390 val_acc=0.9669
  [det5] gen 1600: val_logprob=-0.2198 val_acc=0.9718
  [det5] gen 1800: val_logprob=-0.2078 val_acc=0.9738
  [det5] gen 2000: val_logprob=-0.1998 val_acc=0.9747
  [det5] gen 2200: val_logprob=-0.1983 val_acc=0.9747
  [det5] gen 2400: val_logprob=-0.1805 val_acc=0.9786
  [det5] gen 2600: val_logprob=-0.1685 val_acc=0.9785
  [det5] gen 2800: val_logprob=-0.1942 val_acc=0.9746
  [det5] gen 3000: val_logprob=-0.2029 val_acc=0.9714
  [det5] gen 3200: val_logprob=-0.1990 val_acc=0.9781
  [det5] gen 3400: val_logprob=-0.1762 val_acc=0.9775
  [det5] gen 3600: val_logprob=-0.2004 val_acc=0.9792
  [det5] gen 3800: val_logprob=-0.2344 val_acc=0.9774
  [det5] gen 4000: val_logprob=-0.2529 val_acc=0.9764
  [det5] gen 4200: val_logprob=-0.2337 val_acc=0.9775
  [det5] gen 4400: val_logprob=-0.2585 val_acc=0.9797
  [det5] gen 4600: val_logprob=-0.2312 val_acc=0.9774
  [det5] gen 4800: val_logprob=-0.2800 val_acc=0.9785
  [det5] gen 5000: val_logprob=-0.2667 val_acc=0.9728
[detector 5] done: balanced val_acc=0.9785
  [det6] gen 1: val_logprob=-1.0110 val_acc=0.8023
  [det6] gen 200: val_logprob=-0.4411 val_acc=0.9191
  [det6] gen 400: val_logprob=-0.2488 val_acc=0.9630
