=== MNIST-Pipe battery ===
building statistics layer (features are the environment)…
stats layer: 677 fixed dims (zones + profiles + grad-hist + PCA)
centroid baseline (no evolution): 0.8893
  [det3] gen 2800: val_logprob=-0.1571 val_acc=0.9767
  [det3] gen 3000: val_logprob=-0.1389 val_acc=0.9809
  [det3] gen 3200: val_logprob=-0.1404 val_acc=0.9828
  [det3] gen 3400: val_logprob=-0.1464 val_acc=0.9786
  [det3] gen 3600: val_logprob=-0.1465 val_acc=0.9806
  [det3] gen 3800: val_logprob=-0.1501 val_acc=0.9773
  [det3] gen 4000: val_logprob=-0.1271 val_acc=0.9831
  [det3] gen 4200: val_logprob=-0.1480 val_acc=0.9782
  [det3] gen 4400: val_logprob=-0.1485 val_acc=0.9763
  [det3] gen 4600: val_logprob=-0.1460 val_acc=0.9770
  [det3] gen 4800: val_logprob=-0.1325 val_acc=0.9818
  [det3] gen 5000: val_logprob=-0.1484 val_acc=0.9796
[detector 3] done: balanced val_acc=0.9831
  [det4] gen 1: val_logprob=-1.1848 val_acc=0.7151
  [det4] gen 200: val_logprob=-0.5463 val_acc=0.8987
  [det4] gen 400: val_logprob=-0.3450 val_acc=0.9422
  [det4] gen 600: val_logprob=-0.2666 val_acc=0.9599
  [det4] gen 800: val_logprob=-0.2352 val_acc=0.9667
  [det4] gen 1000: val_logprob=-0.2184 val_acc=0.9684
  [det4] gen 1200: val_logprob=-0.2328 val_acc=0.9688
  [det4] gen 1400: val_logprob=-0.2176 val_acc=0.9747
  [det4] gen 1600: val_logprob=-0.1922 val_acc=0.9751
  [det4] gen 1800: val_logprob=-0.2075 val_acc=0.9749
  [det4] gen 2000: val_logprob=-0.1994 val_acc=0.9766
  [det4] gen 2200: val_logprob=-0.1980 val_acc=0.9765
  [det4] gen 2400: val_logprob=-0.1846 val_acc=0.9780
  [det4] gen 2600: val_logprob=-0.1762 val_acc=0.9771
  [det4] gen 2800: val_logprob=-0.2098 val_acc=0.9745
  [det4] gen 3000: val_logprob=-0.2484 val_acc=0.9744
  [det4] gen 3200: val_logprob=-0.2195 val_acc=0.9782
  [det4] gen 3400: val_logprob=-0.2132 val_acc=0.9723
